pickup_date,pickup_hour,trip_count,PULocationID_mode,DOLocationID_mode,is_weekend_mode,trip_miles_mean,trip_miles_sum,trip_time_mean,trip_time_sum,base_passenger_fare_mean,base_passenger_fare_sum,tolls_mean,tolls_sum,bcf_mean,bcf_sum,sales_tax_mean,sales_tax_sum,congestion_surcharge_mean,congestion_surcharge_sum,tips_mean,tips_sum,driver_pay_mean,driver_pay_sum,PULocationBorough,PULocationZone,DOLocationBorough,DOLocationZone
2024-07-15,12,6158,138,138,False,4.897288730107178,30157.504,1250.9149074374798,7703134,25.96237577135433,159876.31,1.1213527119194544,6905.29,0.7365248457291329,4535.52,2.185938616433907,13461.01,1.0244397531666125,6308.5,1.566895095810328,9648.94,19.726429035401104,121475.35,Queens,LaGuardia Airport,Queens,LaGuardia Airport
2024-07-15,13,6291,138,138,False,4.686916070577015,29485.389,1245.024638372278,7832450,25.94690351295501,163231.97,1.074752821491019,6761.27,0.7339914163090129,4617.54,2.199012875536481,13833.99,1.0084644730567478,6344.25,1.5290081068192656,9618.99,19.487068828485132,122593.15,Queens,LaGuardia Airport,Queens,LaGuardia Airport
2024-07-15,14,6562,138,138,False,5.034091740323072,33033.71,1357.6758610179822,8909069,27.92965102103017,183274.37,1.3581895763486742,8912.44,0.7936635172203597,5208.02,2.3069536726607742,15138.23,1.0066290765010668,6605.5,1.7016778421213044,11166.41,21.08483236818044,138358.67,Queens,LaGuardia Airport,Queens,LaGuardia Airport
2024-07-15,15,6685,138,138,False,4.90798578908003,32809.885,1363.0961854899028,9112298,28.177572176514587,188367.07,1.2268167539267016,8201.27,0.796436798803291,5324.18,2.319114435302917,15503.28,1.012378459237098,6767.75,1.67466866118175,11195.16,21.04625878833209,140694.24,Queens,LaGuardia Airport,Queens,LaGuardia Airport
2024-07-15,16,6745,138,265,False,4.623887916975537,31188.124,1303.3661971830986,8791205,26.178788732394366,176575.93,1.114750185322461,7518.99,0.7388524833209785,4983.56,2.1755433654558933,14674.04,1.0249814677538918,6913.5,1.4551830985915493,9815.21,20.02362342475908,135059.34,Queens,LaGuardia Airport,,Outside of NYC
2024-07-15,17,7437,138,265,False,4.070684012370579,30273.677,1192.1015194298775,8865659,23.935576173188117,178008.88,0.93910313298373,6984.11,0.6717144009681323,4995.54,1.9965429608713192,14848.29,1.105250773161221,8219.75,1.4075460535162028,10467.92,18.080652144681995,134465.81,Queens,LaGuardia Airport,,Outside of NYC
2024-07-15,18,7218,138,265,False,4.333841091715157,31281.665,1110.4046827376003,8014901,23.72487808257135,171246.17,0.9830133000831256,7095.39,0.6662344139650873,4808.88,1.968992795788307,14212.19,1.173836242726517,8472.75,1.3141548905513991,9485.57,17.65978664449986,127468.34,Queens,LaGuardia Airport,,Outside of NYC
2024-07-15,19,6576,138,265,False,4.679414233576643,30771.828,1041.5039537712896,6848930,22.870030413625305,150393.32,1.1464933090024332,7539.34,0.6460462287104622,4248.4,1.868765206812652,12289.0,1.140396897810219,7499.25,1.1629896593673963,7647.82,17.487820863746958,114999.91,Queens,LaGuardia Airport,,Outside of NYC
2024-07-15,20,6232,132,265,False,5.060398748395379,31536.405,1053.635109114249,6566254,23.23175706033376,144780.31,1.297214377406932,8084.24,0.6604091784338896,4115.67,1.8691800385109116,11648.73,1.1428915275994864,7122.5,1.2976765083440307,8087.12,18.163515725288832,113195.03,Queens,JFK Airport,,Outside of NYC
2024-07-15,21,6258,138,265,False,5.101327420901247,31924.107,1073.697347395334,6719198,24.134578139980825,151034.19,1.4020294023649729,8773.9,0.6882774049217002,4307.24,1.9351134547778843,12109.94,1.1996644295302012,7507.5,1.296762543943752,8115.14,18.44361137743688,115420.12,Queens,LaGuardia Airport,,Outside of NYC
