datetime,service,total_rideshare_cost_mean,trip_count,trip_miles_mean,trip_time_mean,tips_mean,congestion_surcharge_mean,is_weekend_mode,temp,feelslike,precip,snow,windspeed,cloudcover,visibility,uvindex,conditions
2024-06-20 21:00:00,uber,59.966352879305816,26621,5.682627249164193,1251.093910822283,1.4963630216746178,1.2261278689756208,False,81,83,0.0,0.0,1,4,9,0,2
2024-06-20 22:00:00,uber,59.959670995995054,26717,5.6552895160384775,1201.5560878841188,1.3738290227196166,1.174795074297264,False,80,82,0.0,0.0,1,8,9,0,2
2024-06-20 23:00:00,uber,54.31902182125239,22501,5.612823430069775,1156.736456157504,1.154565130438647,1.1580151993244745,False,80,82,0.0,0.0,1,4,9,0,2
2024-06-21 00:00:00,uber,51.582059294396686,16865,5.677216128075897,1088.8478505781204,1.0745407648977172,1.209190631485325,False,81,83,0.0,0.0,6,8,9,0,2
2024-06-21 01:00:00,uber,46.21177750565185,10616,5.189600602863602,962.6433685003768,0.8136718161266014,1.2412396382818387,False,81,83,0.0,0.0,6,8,9,0,2
2024-06-21 02:00:00,uber,45.542617236132244,7229,5.289887951307234,954.6357725826532,0.6983123530225481,1.2101604647945774,False,80,82,0.0,0.0,5,15,9,0,2
2024-06-21 03:00:00,uber,49.69109039746746,5686,6.112428772423495,987.6494899753782,0.8638040801969751,1.0381639113612382,False,79,79,0.0,0.0,4,15,9,0,2
2024-06-21 04:00:00,uber,58.289558301158294,6475,7.439215444015444,1061.5337451737453,1.1968,0.9016988416988416,False,78,78,0.0,0.0,6,15,9,0,2
2024-06-21 05:00:00,uber,59.20211738401341,8945,7.479647847959754,1123.7912800447175,1.2730139742873114,0.9091112353269984,False,77,77,0.0,0.0,6,15,9,0,2
2024-06-21 06:00:00,uber,54.21677380615995,14156,6.214287228030517,1145.0030375812375,1.0846701045493077,0.9060469059056232,False,77,77,0.0,0.0,5,8,9,0,2
2024-06-21 07:00:00,uber,50.28197737576873,22277,4.977999730663913,1156.0119405665037,0.982326166000808,0.7952596848767788,False,77,77,0.0,0.0,2,8,9,1,2
2024-06-21 08:00:00,uber,47.993309221128015,27925,4.404231692032229,1136.4932855863922,0.950198388540734,0.8260698299015219,False,79,79,0.0,0.0,0,8,9,4,2
2024-06-21 09:00:00,uber,48.40707845808623,24956,4.530575412726399,1141.983010097772,1.047391408879628,0.8999939894213816,False,80,82,0.0,0.0,0,8,9,6,2
2024-06-21 10:00:00,uber,51.49093130893675,23118,4.703762003633533,1190.0547192663726,1.2721805519508609,0.9941820226663206,False,83,85,0.0,0.0,3,8,9,7,2
2024-06-21 11:00:00,uber,52.862008133561645,23360,4.64710573630137,1238.6688356164384,1.297755565068493,0.9962649828767124,False,86,89,0.0,0.0,5,8,9,8,2
2024-06-21 12:00:00,uber,55.60190972366941,23993,4.685582044763056,1297.5010211311633,1.376704038677948,1.0123160921935566,False,90,94,0.0,0.0,5,4,9,9,2
2024-06-21 13:00:00,uber,58.720349500424746,24721,4.697036932162939,1365.4560495125602,1.470455887706808,1.0188705958496824,False,93,97,0.0,0.0,4,4,9,9,2
2024-06-21 14:00:00,uber,60.404442173460325,25931,4.536401989896263,1444.6638000848404,1.4414800817554276,0.9415853611507462,False,93,97,0.0,0.0,10,8,9,9,2
2024-06-21 15:00:00,uber,61.37536285550678,26195,4.539253292613094,1521.749990456194,1.4001527008971175,0.8966978430998283,False,92,96,0.0,0.0,5,8,9,8,2
2024-06-21 16:00:00,uber,58.54084201813462,26579,4.382074570149366,1458.5215395613077,1.3376022423717973,0.8994977237668836,False,91,94,0.0,0.0,6,8,9,7,2
2024-06-21 17:00:00,uber,56.43471857951272,29511,4.3726857781844055,1389.8984785334285,1.2734739588627968,0.9752634610823084,False,89,92,0.0,0.0,13,15,9,4,2
